数值类别	文章号	发表时间	第一作者	例数	均数	标准差	例数	均数	标准差
BBS	1	2020	李果	38	49.02	3.53	38	46.57	3.85
BBS	2	2021	赵玉茜	94	42.38	5.36	96	36.73	5.25
BBS	3	2022	韩通	30	36.93	4.01	30	33.3	4.83
BBS	4	2021	Shih-Ching Chen	15	45	14.07	15	39.67	6.67
BBS	5	2022	Carina Salgueiro(a)	13	31.36	22.11	25	31.95	19.28
BBS	6	2022	Carina Salgueiro(b)	15	44.93	12.29	15	42.54	14.49
BBS	7	2022	So Jung Lee	7	41.89	12.88	7	46.71	6.32
BBS	8	2021	Melisa Junata	16	52.75	2.46	14	52	2.96
BBS	9	2022	Ameerani Jarbandhan	14	54.3	4.4	10	53	6.4
BBS	10	2020	Zhishui Wu	30	43.14	2.32	31	38.29	2.7
BBS	12	2020	Elena Marques-Sule	15	47	8.1	14	40.5	8
FMA	1	2020	李果	38	51.76	10.42	38	43.38	8.97
FMA	2	2021	赵玉茜	94	42.93	6.67	96	33.42	5.78
FMA	3	2022	韩通	30	85.55	8.63	30	70.2	8.72
FMA	8	2021	Melisa Junata	16	65.19	17.14	14	60.43	17.34
FMA	10	2020	Zhishui Wu	30	83.7	4.44	31	75.29	2.89
FMA	11	2020	Jing Chen	26	82.995	8.1248	26	76.957	12.721
POMA-Balance	12	2020	Elena Marques-Sule	15	14.4	2.2	14	11.9	3.5
TUG	4	2021	Shih‑Ching Chen	15	26.42	27.24	15	29.51	28.19
TUG	8	2021	Melisa Junata	16	12.62	2.54	14	17.65	5.79
TUG	10	2020	Zhishui Wu	30	19.5	2.73	31	23.97	3.35
TUG	12	2020	Elena Marques-Sule	15	14.6	7.1	14	21.3	9.9
S-TIS2.0	5	2022	Carina Salgueiro(a)	13	9.55	3.67	25	9.95	4.75
S-TIS2.0	6	2022	Carina Salgueiro(b)	15	10.36	3.03	15	7.46	3.57
S-PASS	5	2022	Carina Salgueiro(a)	13	24.18	10.48	25	26.91	8.38
S-PASS	6	2022	Carina Salgueiro(b)	15	30.21	5.35	15	29.15	6.04
S-FIST	5	2022	Carina Salgueiro(a)	13	55.09	1.45	25	50.59	10.28
S-FIST	6	2022	Carina Salgueiro(b)	15	54.71	3.47	15	53.54	6.84
ABC	8	2021	Melisa Junata	16	74.59	19.07	14	70.62	17.84
